,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
81,Africa Eastern and Southern,AFE,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,60.0,58.7314017228,57.5153374233,56.3486100676,68.7361419068951,68.2255845942158,67.9324844473203,67.6565168177821,67.3962221942715,67.1503022717536,81.2419382708857,81.1726538018551,81.1070523976121,81.0448479818521,97.5027088718153,97.2438790659233,97.0547855270406,95.031584681099,94.618837451125,94.1676371747389,84.9139089427247,84.4145318566003,83.5080727785566,83.0626451391089,82.2597026592075,81.2753024981275,80.8813652353474,80.4973063381478,80.1259674258907,79.7585530048127,79.3058388722001,79.3648375412357,80.8450335099427,80.7362677514175,80.4590125423228,80.1399534719553,79.8773191406106,79.8054579506189,79.6271059515919,79.4896985027678,79.3593671428722,79.3828259015104,84.0630944410492,84.3172221018845,83.633270261004,82.9647504917779,83.3597453532351,83.2265187363666,82.852076694439,83.3504182229799,83.6089591884846,,,
82,Africa Eastern and Southern,AFE,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,,,,,,,,,,,32.0,32.7492821718,33.4675357873,34.156649136,23.2215447154242,23.5499770747256,23.69833434668,23.8380197236699,23.9697719614694,24.0942482170998,13.0692263527858,13.1362698476605,13.199749404724,13.259941847274,2.02370909604487,2.10017043343856,2.17790868332625,3.50159564441778,3.71531910981159,3.96931808317657,9.79777489796167,10.5058632439393,11.4151877188567,11.9345622822916,12.9601086271593,13.9163540579659,14.2982304454248,14.6716618454007,15.0327220050177,15.3902210313768,15.7375098351803,15.6918839092427,14.6803449530836,14.8137846646743,15.0923870999961,15.3836772919651,15.637551886282,15.7099962770604,15.897758624823,16.020365162043,16.1504356396127,16.1176632478697,12.4648417783819,12.2972181461664,12.0084634557423,11.6772167927827,10.8188194447893,10.8066607975432,9.97681783061511,10.3332236115802,10.2773105012805,,,
83,Africa Eastern and Southern,AFE,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,,,,,,,,,,,8.0,8.5193161055,9.0171267894,9.4947407964,8.04231337768076,8.2244383310586,8.3691812060374,8.50546345854807,8.634005844296,8.75544951111003,5.68883537634681,5.69107635053384,5.69319819766387,5.69521017087397,0.473582032135721,0.536067451327773,0.599596383598947,1.29576320433839,1.46115477360764,1.6266115223602,5.19292860710335,5.07993619461205,5.07720789380213,5.0034108354949,4.78090962553224,4.80918034741727,4.82027702979579,4.83103181642724,4.84131056908686,4.85122596381162,4.9567187551481,4.94345422714931,4.47500108039425,4.449947583887,4.44869956067006,4.4763692360784,4.48512897313581,4.48397379144318,4.47428879349326,4.48993633518867,4.49019721751389,4.49951085063361,3.47206378054665,3.38555975192158,4.36964491399792,5.3686471559027,5.81946953448265,5.96682046608081,5.85073224485822,6.30615794277644,6.11373031020545,,,
85,Africa Eastern and Southern,AFE,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1064201759,37.2900875486,39.2085549215,39.3733556275,41.9538802466,43.1053902826,43.8391869851,44.5867836876,45.3343803901,46.0980770925,47.3586350072,48.7226717933,55.6586436446,57.0238523517,58.2059977515,59.3459931509,59.906224135,60.4238005733,61.2343292846,61.7282587534,62.361968904,62.7966183403,90.8977393676,90.2067603949,92.6899352682,95.1563601417,96.6592785865,96.930950391,97.6402038465,98.037075651,98.377503251,,,
141,Africa Eastern and Southern,AFE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,924.111737024933,931.5067146702,934.015105532563,879.750863579721,869.584522198749,879.866016084206,1114.83240132176,898.701753874313,939.093151430928,948.87527719011,1071.23597781156,1109.94735857048,934.09359728428,1172.2352037196,1145.85620625925,1152.63659451514,1210.78774870782,1204.16697246497,1163.24194212466,1249.28295303131,1424.37335896266,1174.40141916625,1011.53045791681,955.822902331468,1128.29461508912,1131.54761824297,1115.32965358281,1175.47809657344,1289.92909438278,1251.49053367813,1219.21293817832,904.200467213832,1259.08314370256,1156.53145230904,1025.91734605461,1266.61396309277,1127.27004999434,1144.43663517567,1194.4695282228,1292.87154366264,1262.44816628487,1264.69162869925,1150.17664726413,1296.29916803565,1173.85486541931,1296.39882577905,1324.80676668571,1348.04024989905,1425.67546029085,1553.393335431,1492.89098967707,1653.47224836087,1539.11147394672,1653.29581276937,1639.94386972544,1510.04271128901,1771.17582816425,1737.64345754504,1727.18153065616,1864.02845935817,1923.42231168138,1841.85848775725,
236,Africa Eastern and Southern,AFE,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Africa Eastern and Southern,AFE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,12.1495104580699,16.1105104944366,15.4913159148597,18.6077824440519,18.495371368906,19.3500482962416,20.8392493593894,19.5223335787361,18.8552591919062,16.4294871685256,15.5333171645557,14.8025844074112,14.3444573139774,12.8771081103985,12.9214809627637,12.623344744365,11.0092894809258,12.4060197394467,12.2617469915849,11.9427038761255,12.8979780212612,11.7140018979721,11.1310005079771,10.956611210441,10.9694670431788,10.4417630180872,10.1822381918907,12.2949356122989,12.6882637283906,13.0863014105512,14.5472479310422,15.0628425377343,13.9286953011803,13.8954818089824,14.6303350756939,15.5492632362412,15.2441848808811,15.221488869072,16.5014621850292,17.7975429098229,17.9091101123569,18.0617996642566,18.6977986408808,19.6951389738126,19.5414253038097,,,,,,,,
988,Africa Eastern and Southern,AFE,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.335035021179196,0.351848536170778,0.358711195351015,0.378063894239285,0.386985351173594,0.395495048557088,0.404759638450409,0.415053627220765,0.421641780033793,0.428229932846821,0.43454357929264,0.439621947086015,0.448612030612127,0.455474689792364,0.469405887928246,0.464464773318475,0.471876445233132,0.476543053475693,0.477092066210112,0.484091978573955,0.490131118652564,0.494042834385299,0.498503562852453,0.501042746749141,0.50447407633926,0.504405449747458,0.508317165480193,0.510032830275252,0.514150425783395,0.524787547512763,0.529385529163522,0.529522782347127,0.524101281594739,0.523964028411135,0.513532786457173,0.519915059494794,0.521562097698051,0.536454068119167,0.541395182728938,0.552787196968132,0.560336122066393,0.56081650820901,0.576326117956347,0.573497996373338,0.575296479422798,0.579406776443238,0.59659212887384,0.590391314008263,0.606204942847022,0.644149695197925,0.645818509834763,0.654965993711936,0.683606069393301,0.717040241094622,0.732928407933575,0.74376660386714,0.757562996862478,0.771775654556046,0.797163815682964,0.825128033743006,0.82593638181796,,
1067,Africa Eastern and Southern,AFE,Population density (people per sq. km of land area),EN.POP.DNST,,9.20757746003513,9.45918677076955,9.71962166708952,9.99244318284368,10.276307197605,10.565442352256,10.8644977552585,11.1775678749591,11.5015532599656,11.836423989084,12.1814386892431,12.5311533501684,12.8950503139289,13.280134639883,13.6762025832284,14.0823598022209,14.4885085801426,14.9250086349409,15.3940410569566,15.850536910435,16.3288370105406,16.840054061284,17.3474113466246,17.8572670516664,18.3876801954156,18.9434044046331,19.5236061407349,20.0935357113225,20.6651742212992,21.266740101695,21.8605947551029,22.4363333608068,23.0328092068887,23.6362583382167,24.2572081426,24.9104784639118,25.5532644949141,26.1958406657987,26.8663657710874,27.5604796202699,28.2742851837041,29.0112821430657,29.7707291252834,30.2497132924075,31.0561484301498,31.8954643883466,32.7715641846687,33.6780517667335,34.6060569390328,35.5588060643249,36.5318515100975,37.2196395839803,38.2545199953888,39.316203314029,40.417927553128,41.5205707634619,42.6232549793843,43.7690818968299,44.9469295848787,46.150813141707,47.354182530972,,
1567,Africa Western and Central,AFW,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,52.0,53.4600289196,54.7279042841,55.8392178164,56.8212824011,57.6954069299,58.4784601283,59.1839697982,59.822910902,60.4042806183,74.3107104987325,77.2953920314659,79.6894228997335,81.3174224039794,82.6246967597737,82.1873565700463,82.089284688882,76.7230331416139,75.8761864805032,74.8978854214178,74.0186627843417,73.1884743524216,72.4861981297306,72.0377579372017,71.6302745218971,71.0230052135717,70.465916574981,69.9101052177837,69.4259744189744,68.6744822530711,68.0302016904555,67.7548236022226,67.2393382176169,66.2752995261916,65.339919799963,64.515661016602,64.4306399859286,64.3444498416813,64.2660583900922,64.1952997623494,64.1310771247267,64.4500312372792,64.7660436629822,64.7972221980258,64.8427471784675,64.9815612044338,65.0102101977254,64.8224745594245,66.369652677659,66.5440531387841,66.5440531387841,,,
